Download Winning Numbers from www.calottery.com on 7/4/2018 5:18:47 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

1137     Fri. May 13, 2016          20          21          38          54          66          7     
1136     Tue. May 10, 2016          12          22          46          56          74          4     
1135     Fri. May 06, 2016          14          26          27          32          36          7     
1134     Tue. May 03, 2016          28          29          33          36          45          15     
1133     Fri. Apr 29, 2016          5          6          37          55          74          10     
1132     Tue. Apr 26, 2016          14          16          17          28          48          2     
1131     Fri. Apr 22, 2016          2          19          21          42          60          13     
1130     Tue. Apr 19, 2016          9          28          40          57          65          2     
1129     Fri. Apr 15, 2016          9          10          34          37          73          9     
1128     Tue. Apr 12, 2016          7          11          59          62          63          3     
1127     Fri. Apr 08, 2016          31          38          52          65          71          15     
1126     Tue. Apr 05, 2016          13          45          52          53          57          10     
1125     Fri. Apr 01, 2016          25          28          33          41          69          6     
1124     Tue. Mar 29, 2016          33          38          40          46          49          15     
1123     Fri. Mar 25, 2016          4          11          12          35          46          12     
1122     Tue. Mar 22, 2016          6          19          34          38          70          5     
1121     Fri. Mar 18, 2016          5          8          57          59          73          13     
1120     Tue. Mar 15, 2016          18          26          30          44          68          7     
1119     Fri. Mar 11, 2016          14          18          48          54          71          13     
1118     Tue. Mar 08, 2016          27          37          54          66          69          5     
1117     Fri. Mar 04, 2016          21          26          33          48          73          14     
1116     Tue. Mar 01, 2016          1          29          33          34          55          6     
1115     Fri. Feb 26, 2016          3          15          19          62          74          14     
1114     Tue. Feb 23, 2016          16          32          39          53          57          10     
1113     Fri. Feb 19, 2016          2          27          41          50          75          4     
1112     Tue. Feb 16, 2016          9          31          33          46          64          4     
1111     Fri. Feb 12, 2016          1          7          44          68          73          1     
1110     Tue. Feb 09, 2016          3          42          46          56          71          13     
1109     Fri. Feb 05, 2016          4          6          23          55          75          2     
1108     Tue. Feb 02, 2016          7          13          25          51          70          9     
1107     Fri. Jan 29, 2016          20          28          49          51          52          6     
1106     Tue. Jan 26, 2016          14          27          39          50          69          2     
1105     Fri. Jan 22, 2016          21          25          40          46          56          3     
1104     Tue. Jan 19, 2016          2          17          31          39          47          9     
1103     Fri. Jan 15, 2016          29          41          53          54          70          12     
1102     Tue. Jan 12, 2016          15          27          29          31          48          15     
1101     Fri. Jan 08, 2016          11          39          51          57          75          2     
1100     Tue. Jan 05, 2016          1          4          36          48          57          13     
1099     Fri. Jan 01, 2016          7          18          37          38          39          9     
1098     Tue. Dec 29, 2015          20          25          55          62          74          7     
1097     Fri. Dec 25, 2015          15          25          29          44          51          4     
1096     Tue. Dec 22, 2015          11          21          40          50          70          15     
